,fips,county,name,industry_code,industry_detail,relevant_naics,year,payann_total,ACID,ENRG,ETOX,EUTR,FOOD,GCC,HAPS,HAZW,HC,HNC,HRSP,HTOX,JOBS,LAND,METL,MINE,MSW,NREN,OZON,PEST,REN,SMOG,VADD,WATR
30,13001,1,"Appling County, Georgia",52a000,monetary authorities and depository credit intermediation,"[521, 5221]",2012,2815,0.007117470465172022,0.0,0.007059500435042437,0.0008949776470247124,3.2595451385319,10.407465640723814,0.00232391109926637,0.08973647321216466,2.741750584484056e-09,5.186802147392932e-09,0.0009555281553094941,7.934382626616036e-09,8312384.086290199,1.46034155280051,2.0314445861186902e-07,0.0,37.875751246713165,0.0,0.0,0.0,0.0,0.30922824062974963,1971.25383276285,0.936261180303269
31,13001,1,"Appling County, Georgia",531ore,other real estate,[531],2012,74,0.00014119114935312021,2.7462353464025995e-05,0.00014186562824701932,2.083077149892282e-05,0.014177247834948004,2.915079420227176,4.7949741454737645e-05,0.005704870012009337,5.290968211886274e-11,1.2566563974253022e-10,2.3446821567053086e-05,1.7869445506064795e-10,101100.4857237,0.005101981739015119,2.1228573142011182e-06,0.0,0.16101426135368302,0.0,0.0,0.0,2.7462353464025995e-05,0.006079391070355766,29.629799636015996,0.087593652450216
32,13001,1,"Appling County, Georgia",532400,commercial equipment rental,[5324],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,13001,1,"Appling County, Georgia",532a00,consumer goods and general rental centers,"[5322, 5323]",2012,463,0.0015916817603425508,22.6321519377375,0.0037998087793253113,0.0041478667200102095,1.3378945073506,4.320889559465754,0.007547575047053524,0.016837563208867288,1.3242667580462e-09,4.338201702901815e-09,0.0006351501387040395,5.665107653009713e-09,909800.29451149,0.50731561726671,2.2494444045440672e-07,0.0,7.682583793992524,0.0,2.8109624271293384e-07,9.904381195631203e-10,22.6321519377375,0.30888043426506107,308.113240289771,0.225721964019561
34,13001,1,"Appling County, Georgia",541100,legal services,[5411],2012,656,0.0001806928151230576,0.0,0.0002875720805162251,2.4477738506906357e-05,0.340140521670896,0.5824882583202433,0.00016637176777532727,0.00936419331961008,1.5892072749675915e-10,1.3160375947926723e-10,2.425078731774478e-05,2.9067236088604315e-10,735040.7429016,0.5118327747116801,1.4489250887775155e-09,0.0,3.9524158249638335,0.0,0.0,0.0,0.0,0.007854536020840994,493.19106462551997,0.042807447655035205
35,13001,1,"Appling County, Georgia",541200,"accounting, tax preparation, bookkeeping, and payroll",[5412],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,13001,1,"Appling County, Georgia",541300,"architectural, engineering, and related services",[5413],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,13001,1,"Appling County, Georgia",541610,management consulting,[54161],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,13001,1,"Appling County, Georgia",5416a0,environmental and other technical consulting services,"[54162, 54169]",2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,13001,1,"Appling County, Georgia",541920,photographers,[54192],2012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
