------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Evans County",13109,23.7,1697,"2905 of 3141"
"Jasper County",13159,23.9,2247,"2909 of 3141"
"Terrell County",13273,24.2,1470,"2929 of 3141"
"Candler County",13043,24.3,1757,"2932 of 3141"
"Johnson County",13167,24.4,1702,"2936 of 3141"
"Appling County",13001,24.9,3076,"2962 of 3141"
"Warren County",13301,24.9,987,"2965 of 3141"
"Jefferson County",13163,25.5,2735,"2984 of 3141"
"Tattnall County",13267,25.6,4562,"2988 of 3141"
"Calhoun County",13037,25.7,1251,"2994 of 3141"
"Randolph County",13243,26.3,1311,"3013 of 3141"
"Clinch County",13065,26.4,1182,"3018 of 3141"
"Colquitt County",13071,26.9,7951,"3035 of 3141"
"Dooly County",13093,27.0,2723,"3036 of 3141"
"Chattooga County",13055,27.0,4638,"3038 of 3141"
"Macon County",13193,27.2,2631,"3044 of 3141"
"Telfair County",13271,29.6,3651,"3076 of 3141"
"Quitman County",13239,29.7,493,"3079 of 3141"
"Atkinson County",13003,30.1,1580,"3083 of 3141"
"Hancock County",13141,30.2,2026,"3085 of 3141"
"Echols County",13101,30.7,808,"3092 of 3141"
