------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Jefferson County",13163,21.4,785,"2962 of 3141"
"Colquitt County",13071,21.5,2389,"2963 of 3141"
"Wheeler County",13309,21.6,289,"2969 of 3141"
"Warren County",13301,21.8,303,"2971 of 3141"
"Bibb County",13021,21.9,7580,"2976 of 3141"
"Tift County",13277,22.0,2352,"2984 of 3141"
"Washington County",13303,22.1,1153,"2985 of 3141"
"Turner County",13287,22.1,504,"2987 of 3141"
"Jenkins County",13165,22.3,469,"2989 of 3141"
"Early County",13099,22.7,607,"2995 of 3141"
"Telfair County",13271,23.0,782,"3004 of 3141"
"Hancock County",13141,23.1,425,"3006 of 3141"
"Atkinson County",13003,23.7,451,"3021 of 3141"
"Taylor County",13269,24.3,589,"3033 of 3141"
"Macon County",13193,24.3,719,"3035 of 3141"
"Lanier County",13173,25.2,662,"3045 of 3141"
"Seminole County",13253,25.2,586,"3047 of 3141"
"Dougherty County",13095,25.2,5423,"3048 of 3141"
"Burke County",13033,25.6,1537,"3054 of 3141"
"Ben Hill County",13017,25.7,1149,"3056 of 3141"
"Candler County",13043,26.5,774,"3065 of 3141"
"Randolph County",13243,26.9,482,"3070 of 3141"
"Echols County",13101,27.0,293,"3072 of 3141"
"Sumter County",13261,27.0,2095,"3073 of 3141"
"Crisp County",13081,27.0,1546,"3074 of 3141"
"Calhoun County",13037,29.6,366,"3098 of 3141"
"Clay County",13061,30.8,216,"3104 of 3141"
"Terrell County",13273,31.3,698,"3106 of 3141"
"Clinch County",13065,33.1,508,"3118 of 3141"
"Stewart County",13259,33.9,361,"3122 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
