------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '13', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=13&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Georgia by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Bacon County",13005,80.3,9060,"2202 of 3141"
"Effingham County",13103,82.4,47042,"2102 of 3141"
"Forsyth County",13117,83.0,175339,"2071 of 3141"
"Bartow County",13015,83.8,85953,"2031 of 3141"
"Stephens County",13257,84.0,21528,"2021 of 3141"
"Hall County",13139,84.1,162214,"2018 of 3141"
"Berrien County",13019,84.8,16121,"1983 of 3141"
"Madison County",13195,84.8,24265,"1980 of 3141"
"Heard County",13149,85.3,9901,"1958 of 3141"
"Franklin County",13119,86.2,19238,"1903 of 3141"
"Habersham County",13137,86.3,37877,"1890 of 3141"
"Cherokee County",13057,86.4,203874,"1884 of 3141"
"Pierce County",13229,86.8,16623,"1849 of 3141"
"Chattooga County",13055,87.0,21638,"1842 of 3141"
"Jackson County",13157,87.7,55968,"1791 of 3141"
"Pike County",13231,88.0,15777,"1755 of 3141"
"Glascock County",13125,88.2,2671,"1727 of 3141"
"Whitfield County",13313,88.4,91949,"1699 of 3141"
"Oconee County",13219,88.7,31909,"1668 of 3141"
"Gordon County",13129,90.2,50879,"1545 of 3141"
"Gilmer County",13123,91.3,27031,"1419 of 3141"
"Haralson County",13143,92.0,26416,"1327 of 3141"
"Rabun County",13241,92.2,15081,"1290 of 3141"
"Walker County",13295,92.3,63292,"1285 of 3141"
"Catoosa County",13047,92.7,61071,"1224 of 3141"
"Banks County",13011,93.1,17090,"1182 of 3141"
"Brantley County",13025,93.7,17243,"1068 of 3141"
"Lumpkin County",13187,93.9,29645,"1029 of 3141"
"White County",13311,94.5,26930,"935 of 3141"
"Dade County",13083,95.1,15484,"809 of 3141"
"Pickens County",13227,95.7,29025,"699 of 3141"
