------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Goliad County",48175,35.6,2675,"180 of 3141"
"Bastrop County",48021,36.0,28883,"178 of 3141"
"Jeff Davis County",48243,36.2,810,"177 of 3141"
"Nolan County",48353,36.4,5456,"176 of 3141"
"Menard County",48327,37.3,792,"172 of 3141"
"Guadalupe County",48187,37.3,56319,"171 of 3141"
"Potter County",48375,37.6,45560,"167 of 3141"
"Hays County",48209,37.8,73608,"165 of 3141"
"Live Oak County",48297,38.8,4669,"161 of 3141"
"Tom Green County",48451,38.8,45407,"160 of 3141"
"Wilson County",48493,39.2,18488,"159 of 3141"
"Mitchell County",48335,39.3,3446,"158 of 3141"
"Dallas County",48113,39.6,1011374,"156 of 3141"
"Scurry County",48415,39.7,6891,"155 of 3141"
"Wharton County",48481,40.3,16682,"154 of 3141"
"Gaines County",48165,40.6,8066,"152 of 3141"
"Glasscock County",48173,40.6,576,"151 of 3141"
"Sterling County",48431,40.8,465,"148 of 3141"
"Howard County",48227,41.2,15030,"144 of 3141"
"Matagorda County",48321,41.4,15230,"142 of 3141"
"Titus County",48449,42.1,13749,"138 of 3141"
"Harris County",48201,42.2,1910535,"137 of 3141"
"Swisher County",48437,43.1,3253,"133 of 3141"
"Midland County",48329,43.2,69124,"130 of 3141"
"Sherman County",48421,43.3,1327,"129 of 3141"
"Dallam County",48111,43.8,3157,"128 of 3141"
"Brewster County",48043,44.2,4079,"127 of 3141"
"Martin County",48317,45.1,2500,"121 of 3141"
"Victoria County",48469,46.0,42139,"117 of 3141"
"Hansford County",48195,46.4,2569,"115 of 3141"
"Hockley County",48219,46.9,10921,"113 of 3141"
"Lynn County",48305,47.2,2728,"112 of 3141"
"Calhoun County",48057,48.1,10503,"109 of 3141"
"Refugio County",48391,49.7,3626,"102 of 3141"
"Upton County",48461,49.7,1778,"101 of 3141"
"Gonzales County",48177,50.1,10293,"99 of 3141"
"McMullen County",48311,50.5,303,"98 of 3141"
"Caldwell County",48055,50.7,20537,"97 of 3141"
"Medina County",48325,51.3,24884,"95 of 3141"
"Schleicher County",48413,51.8,1618,"93 of 3141"
"Ward County",48475,52.2,6001,"91 of 3141"
"Karnes County",48255,52.9,7965,"86 of 3141"
"Ochiltree County",48357,53.0,5553,"85 of 3141"
"Concho County",48095,53.0,2046,"84 of 3141"
"Terry County",48445,53.8,6858,"81 of 3141"
"Garza County",48169,54.0,3639,"79 of 3141"
"Moore County",48341,54.1,11920,"78 of 3141"
"Lamb County",48279,55.0,7347,"77 of 3141"
"Andrews County",48003,55.4,9737,"76 of 3141"
"Crosby County",48107,55.4,3266,"75 of 3141"
"Terrell County",48443,56.3,406,"72 of 3141"
"Dawson County",48115,56.4,7390,"71 of 3141"
"San Patricio County",48409,56.8,38004,"68 of 3141"
"Edwards County",48137,56.9,1201,"66 of 3141"
"Cochran County",48079,57.0,1672,"65 of 3141"
"Floyd County",48153,57.8,3440,"64 of 3141"
"Bee County",48025,58.2,19058,"60 of 3141"
"Ector County",48135,58.7,91475,"58 of 3141"
"Hale County",48189,58.8,20291,"57 of 3141"
"Winkler County",48495,59.4,4619,"55 of 3141"
"Sutton County",48435,59.4,2314,"54 of 3141"
"Bexar County",48029,59.8,1130949,"52 of 3141"
"Kinney County",48271,61.8,2245,"50 of 3141"
