------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Schleicher County",48413,25.7,505,"2995 of 3141"
"Crane County",48103,26.0,750,"3004 of 3141"
"Titus County",48449,26.0,5149,"3005 of 3141"
"Floyd County",48153,26.1,1001,"3011 of 3141"
"Lamb County",48279,26.3,2225,"3014 of 3141"
"San Saba County",48411,26.4,1100,"3019 of 3141"
"Gonzales County",48177,26.8,3533,"3029 of 3141"
"Sherman County",48421,26.8,557,"3031 of 3141"
"Deaf Smith County",48117,27.0,2990,"3037 of 3141"
"Jim Wells County",48249,27.0,6946,"3040 of 3141"
"Bee County",48025,27.3,6052,"3046 of 3141"
"Dawson County",48115,27.4,2304,"3048 of 3141"
"Castro County",48069,27.7,1312,"3050 of 3141"
"Jim Hogg County",48247,28.4,906,"3057 of 3141"
"Parmer County",48369,28.7,1741,"3062 of 3141"
"Uvalde County",48463,28.8,4807,"3066 of 3141"
"Hansford County",48195,29.1,993,"3068 of 3141"
"Reagan County",48383,29.6,696,"3075 of 3141"
"Bailey County",48017,29.7,1289,"3078 of 3141"
"Yoakum County",48501,29.8,1452,"3080 of 3141"
"Winkler County",48495,30.4,1394,"3086 of 3141"
"Pecos County",48371,30.4,3234,"3087 of 3141"
"Haskell County",48207,30.4,1319,"3088 of 3141"
"Terry County",48445,31.0,2528,"3095 of 3141"
"La Salle County",48283,31.7,1613,"3101 of 3141"
"Dallam County",48111,31.8,1391,"3104 of 3141"
"Brooks County",48047,31.9,1332,"3106 of 3141"
"Duval County",48131,32.3,2388,"3108 of 3141"
"Val Verde County",48465,32.6,9558,"3110 of 3141"
"Webb County",48479,33.3,49124,"3114 of 3141"
"Cochran County",48079,33.6,611,"3115 of 3141"
"Cameron County",48061,33.8,82254,"3116 of 3141"
"Willacy County",48489,34.6,4699,"3119 of 3141"
"Moore County",48341,34.6,4386,"3120 of 3141"
"Frio County",48163,35.0,4020,"3124 of 3141"
"Dimmit County",48127,35.7,2344,"3125 of 3141"
"Hidalgo County",48215,36.3,168882,"3126 of 3141"
"Culberson County",48109,36.6,573,"3127 of 3141"
"Reeves County",48389,37.7,3687,"3130 of 3141"
"Gaines County",48165,38.3,4171,"3131 of 3141"
"Concho County",48095,39.0,1118,"3132 of 3141"
"Zavala County",48507,39.7,2761,"3133 of 3141"
"Maverick County",48323,40.8,13132,"3134 of 3141"
"Garza County",48169,42.0,2125,"3136 of 3141"
"Zapata County",48505,44.6,3583,"3137 of 3141"
"Presidio County",48377,47.5,2145,"3138 of 3141"
"Hudspeth County",48229,49.0,1204,"3139 of 3141"
"Starr County",48427,51.2,17896,"3140 of 3141"
"Kenedy County",48261,58.7,200,"3141 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
