33299A,"Ammunition, arms, ordnance, and accessories manufacturing",2115,3243
332999,Other fabricated metal manufacturing,3821,6982
333111,Farm machinery and equipment manufacturing,4090,5831
333112,Lawn and garden equipment manufacturing,4524,9893
333120,Construction machinery manufacturing,812,1745
333130,Mining and oil and gas field machinery manufacturing,7445,15045
333242,Semiconductor machinery manufacturing,9752,12951
33329A,Other industrial machinery manufacturing,2530,4395
333314,Optical instrument and lens manufacturing,5445,9099
333316,Photographic and photocopying equipment manufacturing,2518,2646
333318,Other commercial and service industry machinery manufacturing,688,917
333414,Heating equipment (except warm air furnaces) manufacturing,4676,8087
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",1056,2045
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,5761,11711
333511,Industrial mold manufacturing,1652,2406
333514,"Special tool, die, jig, and fixture manufacturing",2513,2990
333517,Machine tool manufacturing,3991,4205
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",2338,2960
333611,Turbine and turbine generator set units manufacturing,2650,3687
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",3126,5991
333613,Mechanical power transmission equipment manufacturing,1120,2109
333618,Other engine equipment manufacturing,1054,2074
333912,Air and gas compressor manufacturing,4410,7778
33391A,Pump and pumping equipment manufacturing,1803,3877
333920,Material handling equipment manufacturing,2773,6657
333991,Power-driven handtool manufacturing,4864,10575
333993,Packaging machinery manufacturing,612,1770
333994,Industrial process furnace and oven manufacturing,1540,2465
33399A,Other general purpose machinery manufacturing,819,1207
33399B,Fluid power process machinery,4546,8164
334111,Electronic computer manufacturing,3393,4826
334112,Computer storage device manufacturing,7530,9312
334118,Computer terminals and other computer peripheral equipment manufacturing,4094,5117
334210,Telephone apparatus manufacturing,4078,8309
334220,Broadcast and wireless communications equipment,4539,8245
334290,Other communications equipment manufacturing,10069,22396
334413,Semiconductor and related device manufacturing,3375,4050
334418,Printed circuit assembly (electronic assembly) manufacturing,23359,42287
33441A,Other electronic component manufacturing,5309,8938
334510,Electromedical and electrotherapeutic apparatus manufacturing,14333,16628
334511,"Search, detection, and navigation instruments manufacturing",7038,22580
334512,Automatic environmental control manufacturing,18781,39908
334513,Industrial process variable instruments manufacturing,1517,1701
334514,Totalizing fluid meter and counting device manufacturing,7205,7784
334515,Electricity and signal testing instruments manufacturing,1557,5552
334516,Analytical laboratory instrument manufacturing,4614,7404
334517,Irradiation apparatus manufacturing,3776,10459
33451A,"Watch, clock, and other measuring and controlling device manufacturing",3268,6271
334300,Audio and video equipment manufacturing,4060,9336
334610,Manufacturing and reproducing magnetic and optical media,1262,1745
335110,Electric lamp bulb and part manufacturing,899,2116
335120,Lighting fixture manufacturing,785,879
335210,Small electrical appliance manufacturing,2797,4390
335221,Household cooking appliance manufacturing,948,1426
335222,Household refrigerator and home freezer manufacturing,731,1950
335224,Household laundry equipment manufacturing,1210,1707
335228,Other major household appliance manufacturing,970,1214
335311,"Power, distribution, and specialty transformer manufacturing",833,2346
335312,Motor and generator manufacturing,1991,2489
335313,Switchgear and switchboard apparatus manufacturing,3091,4748
335314,Relay and industrial control manufacturing,2909,4867
335911,Storage battery manufacturing,4356,4519
335912,Primary battery manufacturing,1312,2716
335920,Communication and energy wire and cable manufacturing,1299,3102
335930,Wiring device manufacturing,2069,4596
335991,Carbon and graphite product manufacturing,3427,6480
335999,All other miscellaneous electrical equipment and component manufacturing,544,1379
336111,Automobile manufacturing,2617,3932
336112,Light truck and utility vehicle manufacturing,8014,16694
336120,Heavy duty truck manufacturing,6504,33762
336211,Motor vehicle body manufacturing,2272,6161
336212,Truck trailer manufacturing,2949,3178
336213,Motor home manufacturing,1670,2148
336214,Travel trailer and camper manufacturing,575,624
336310,Motor vehicle gasoline engine and engine parts manufacturing,1431,2404
336320,Motor vehicle electrical and electronic equipment manufacturing,4035,6424
336350,Motor vehicle transmission and power train parts manufacturing,3268,4462
336360,Motor vehicle seating and interior trim manufacturing,5832,8289
336370,Motor vehicle metal stamping,3417,4403
336390,Other Motor Vehicle Parts Manufacturing,5095,7957
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",7582,12983
336411,Aircraft manufacturing,4192,5671
336412,Aircraft engine and engine parts manufacturing,24220,50757
336413,Other aircraft parts and auxiliary equipment manufacturing,9313,20707
336414,Guided missile and space vehicle manufacturing,9668,17276
33641A,Propulsion units and parts for space vehicles and guided missiles,10270,10502
336500,Railroad rolling stock manufacturing,1725,3077
336611,Ship building and repairing,1994,4157
336612,Boat building,9204,10309
336991,"Motorcycle, bicycle, and parts manufacturing",1708,2231
336992,"Military armored vehicle, tank, and tank component manufacturing",1318,2872
336999,All other transportation equipment manufacturing,1162,2473
337110,Wood kitchen cabinet and countertop manufacturing,941,2020
337121,Upholstered household furniture manufacturing,4600,4944
337122,Nonupholstered wood household furniture manufacturing,2178,2861
337127,Institutional furniture manufacturing,1352,1514
33712N,Other household nonupholstered furniture,1144,1468
337215,"Showcase, partition, shelving, and locker manufacturing",501,743
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,2226,2470
337900,Other furniture related product manufacturing,3675,5648
339112,Surgical and medical instrument manufacturing,1627,2705
339113,Surgical appliance and supplies manufacturing,13568,24018
339114,Dental equipment and supplies manufacturing,9410,20722
339115,Ophthalmic goods manufacturing,1394,2565
339116,Dental laboratories,2281,4978
339910,Jewelry and silverware manufacturing,2759,3146
339920,Sporting and athletic goods manufacturing,1386,2910
