"GEO_ID","GEO_TTL","COUNTY","YEAR","NAICS2002_TTL","ESTAB","EMP","PAYANN","state","county",
"0500000US13259","Stewart, GA","259","2007","Total","78","855","19414","13","259",
"0500000US13253","Seminole, GA","253","2007","Total","211","1604","38904","13","253",
"0500000US13263","Talbot, GA","263","2007","Total","57","527","17735","13","263",
"0500000US13313","Whitfield, GA","313","2007","Total","2535","55275","1860034","13","313",
"0500000US13255","Spalding, GA","255","2007","Total","1265","19557","557401","13","255",
"0500000US13275","Thomas, GA","275","2007","Total","1152","17047","545918","13","275",
"0500000US13271","Telfair, GA","271","2007","Total","223","4120","81552","13","271",
"0500000US13265","Taliaferro, GA","265","2007","Total","25","93","1723","13","265",
"0500000US13267","Tattnall, GA","267","2007","Total","311","2870","67752","13","267",
"0500000US13277","Tift, GA","277","2007","Total","1155","18208","531239","13","277",
"0500000US13269","Taylor, GA","269","2007","Total","143","1298","33313","13","269",
"0500000US13273","Terrell, GA","273","2007","Total","194","1653","40891","13","273",
"0500000US13285","Troup, GA","285","2007","Total","1485","27930","904003","13","285",
"0500000US13287","Turner, GA","287","2007","Total","169","1665","37423","13","287",
"0500000US13279","Toombs, GA","279","2007","Total","746","10042","262929","13","279",
"0500000US13281","Towns, GA","281","2007","Total","376","3039","74239","13","281",
"0500000US13283","Treutlen, GA","283","2007","Total","93","799","14474","13","283",
"0500000US13291","Union, GA","291","2007","Total","664","5230","156348","13","291",
"0500000US13293","Upson, GA","293","2007","Total","510","6312","173644","13","293",
"0500000US13295","Walker, GA","295","2007","Total","803","12257","350814","13","295",
"0500000US13297","Walton, GA","297","2007","Total","1673","17031","498294","13","297",
"0500000US13289","Twiggs, GA","289","2007","Total","93","974","28810","13","289",
"0500000US13299","Ware, GA","299","2007","Total","995","13245","330639","13","299",
"0500000US13305","Wayne, GA","305","2007","Total","591","6769","203058","13","305",
"0500000US13301","Warren, GA","301","2007","Total","93","809","25367","13","301",
"0500000US13303","Washington, GA","303","2007","Total","410","6395","198292","13","303",
"0500000US13307","Webster, GA","307","2007","Total","30","0","0","13","307",
"0500000US13311","White, GA","311","2007","Total","689","5365","135998","13","311",
"0500000US13309","Wheeler, GA","309","2007","Total","91","988","26797","13","309",
"0500000US13315","Wilcox, GA","315","2007","Total","100","622","13375","13","315",
"0500000US13999","Statewide, GA","999","2007","Total","213","84514","2491016","13","999",
"0500000US13319","Wilkinson, GA","319","2007","Total","159","2612","103852","13","319",
"0500000US13317","Wilkes, GA","317","2007","Total","259","2775","70670","13","317",
"0500000US13321","Worth, GA","321","2007","Total","334","2558","63598","13","321"
