locale,fips,value (percent),people (unemployed),rank within us,age,areatype,demo,file_name,race,sex,source_url,stateFIPS,topic,type
Vermilion Parish,22113.0,7.3,1964.0,2152 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,22,work,manyareacensus
St. Charles Parish,22089.0,7.3,1932.0,2153 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,22,work,manyareacensus
St. John the Baptist Parish,22095.0,7.3,1525.0,2158 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,22,work,manyareacensus
Bienville Parish,22013.0,7.4,401.0,2183 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,22,work,manyareacensus
Beauregard Parish,22011.0,7.4,1136.0,2201 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,22,work,manyareacensus
Iberville Parish,22047.0,7.5,1038.0,2231 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,22,work,manyareacensus
Rapides Parish,22079.0,7.7,4475.0,2332 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,22,work,manyareacensus
Avoyelles Parish,22009.0,7.7,1238.0,2336 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,22,work,manyareacensus
Grant Parish,22043.0,7.9,622.0,2394 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,22,work,manyareacensus
St. James Parish,22093.0,8.2,819.0,2473 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,22,work,manyareacensus
Pointe Coupee Parish,22077.0,8.3,851.0,2509 of 3141,1,county,12,demographics_031.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=22&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,22,work,manyareacensus
