------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00103', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_015.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00103&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Age 40-64
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40-64),Rank within US
"Van Zandt County",48467,33.7,18056,"1697 of 3141"
"Anderson County",48001,33.7,19453,"1698 of 3141"
"Lee County",48287,33.7,5679,"1708 of 3141"
"Hardin County",48199,33.7,18876,"1710 of 3141"
"Wise County",48497,33.8,21380,"1759 of 3141"
"Jones County",48253,33.8,6751,"1763 of 3141"
"Throckmorton County",48447,33.8,521,"1765 of 3141"
"Chambers County",48071,33.8,13288,"1778 of 3141"
"Cass County",48067,33.9,10195,"1795 of 3141"
"Austin County",48015,33.9,9919,"1800 of 3141"
"Upshur County",48459,33.9,13718,"1802 of 3141"
"Galveston County",48167,33.9,109017,"1842 of 3141"
"Colorado County",48089,34.0,7100,"1848 of 3141"
"Fort Bend County",48157,34.0,241649,"1852 of 3141"
"Aransas County",48007,34.1,8468,"1922 of 3141"
"Kinney County",48271,34.1,1239,"1932 of 3141"
"Delta County",48119,34.2,1767,"1950 of 3141"
"Stonewall County",48433,34.2,371,"1980 of 3141"
"Rockwall County",48397,34.3,30994,"2002 of 3141"
"Shackelford County",48417,34.3,1148,"2007 of 3141"
"Kent County",48263,34.4,234,"2074 of 3141"
"Collin County",48085,34.4,314628,"2078 of 3141"
"Dickens County",48125,34.5,767,"2118 of 3141"
"Callahan County",48059,34.5,4714,"2129 of 3141"
"Grimes County",48185,34.6,9458,"2155 of 3141"
"Glasscock County",48173,34.6,491,"2159 of 3141"
"Carson County",48065,34.7,2096,"2229 of 3141"
"Parker County",48367,34.7,43769,"2231 of 3141"
"Baylor County",48023,34.8,1253,"2263 of 3141"
"Coleman County",48083,34.8,2930,"2269 of 3141"
"Bastrop County",48021,34.9,27995,"2302 of 3141"
