------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Nolan County",48353,87.5,13120,"1799 of 3141"
"Fannin County",48147,87.6,29583,"1797 of 3141"
"Lamb County",48279,87.6,11705,"1796 of 3141"
"San Saba County",48411,87.7,5133,"1787 of 3141"
"Orange County",48361,87.8,73642,"1781 of 3141"
"Lipscomb County",48295,87.8,3068,"1777 of 3141"
"Aransas County",48007,87.8,21800,"1776 of 3141"
"Brooks County",48047,87.9,6370,"1770 of 3141"
"Wheeler County",48483,87.9,4919,"1769 of 3141"
"Scurry County",48415,87.9,15251,"1767 of 3141"
"Hill County",48217,87.9,30859,"1766 of 3141"
"Hutchinson County",48233,88.1,19121,"1749 of 3141"
"Ochiltree County",48357,88.2,9248,"1730 of 3141"
"Lampasas County",48281,88.4,18097,"1704 of 3141"
"Franklin County",48159,88.6,9423,"1685 of 3141"
"Nueces County",48355,88.7,317848,"1674 of 3141"
"Winkler County",48495,88.9,6912,"1657 of 3141"
"Hidalgo County",48215,88.9,746211,"1656 of 3141"
"Uvalde County",48463,89.0,24032,"1650 of 3141"
"Henderson County",48213,89.2,71083,"1626 of 3141"
"Cochran County",48079,89.2,2616,"1625 of 3141"
"Sabine County",48403,89.5,9329,"1608 of 3141"
"Terry County",48445,89.5,11413,"1603 of 3141"
"Leon County",48289,89.5,15185,"1598 of 3141"
"Hockley County",48219,89.5,20833,"1597 of 3141"
"Coke County",48081,89.6,2900,"1594 of 3141"
"Wood County",48499,89.7,38855,"1583 of 3141"
"Randall County",48381,89.7,117148,"1580 of 3141"
"Haskell County",48207,89.8,5214,"1571 of 3141"
"Dickens County",48125,89.9,2000,"1562 of 3141"
"Stephens County",48429,90.1,8434,"1554 of 3141"
"Oldham County",48359,90.2,1879,"1541 of 3141"
"Rains County",48379,90.2,10149,"1538 of 3141"
"Fayette County",48149,90.4,22571,"1520 of 3141"
"Medina County",48325,90.5,43920,"1515 of 3141"
"Loving County",48301,90.5,67,"1509 of 3141"
