------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"Concho County",48095,85.9,3305,"1966 of 3140"
"Wise County",48497,85.9,53589,"1965 of 3140"
"Lynn County",48305,86.0,4944,"1956 of 3140"
"Stonewall County",48433,86.0,921,"1945 of 3140"
"Jackson County",48239,86.1,12544,"1907 of 3140"
"Lee County",48287,86.2,14366,"1891 of 3140"
"Tyler County",48457,86.3,18390,"1847 of 3140"
"Andrews County",48003,86.4,14889,"1843 of 3140"
"Live Oak County",48297,86.4,10264,"1838 of 3140"
"Scurry County",48415,86.4,14755,"1825 of 3140"
"Grimes County",48185,86.4,23541,"1820 of 3140"
"Moore County",48341,86.4,18637,"1818 of 3140"
"Clay County",48077,86.5,8872,"1790 of 3140"
"Oldham County",48359,86.5,1794,"1789 of 3140"
"Lavaca County",48285,86.5,16976,"1776 of 3140"
"Karnes County",48255,86.6,12903,"1766 of 3140"
"Milam County",48331,86.6,20993,"1752 of 3140"
"Eastland County",48133,86.6,15622,"1747 of 3140"
"Robertson County",48395,86.6,14340,"1737 of 3140"
"Ellis County",48139,86.6,140400,"1735 of 3140"
"Zapata County",48505,86.6,12128,"1734 of 3140"
"Henderson County",48213,86.8,68182,"1694 of 3140"
"Rockwall County",48397,86.8,77294,"1685 of 3140"
"Hansford County",48195,86.8,4764,"1675 of 3140"
"Upshur County",48459,86.8,34707,"1669 of 3140"
"Childress County",48075,86.8,6025,"1657 of 3140"
"Wheeler County",48483,86.9,4812,"1653 of 3140"
"Jasper County",48241,86.9,30602,"1650 of 3140"
"Limestone County",48293,86.9,20142,"1649 of 3140"
"Red River County",48387,86.9,10670,"1639 of 3140"
"Burnet County",48053,86.9,38757,"1632 of 3140"
"Guadalupe County",48187,87.0,130006,"1606 of 3140"
"Gonzales County",48177,87.1,17586,"1584 of 3140"
"Medina County",48325,87.1,41844,"1580 of 3140"
"Calhoun County",48057,87.2,18791,"1535 of 3140"
"Glasscock County",48173,87.3,1211,"1508 of 3140"
"Maverick County",48323,87.3,49129,"1505 of 3140"
"Fort Bend County",48157,87.3,614466,"1498 of 3140"
"Winkler County",48495,87.4,6664,"1487 of 3140"
"DeWitt County",48123,87.4,17742,"1481 of 3140"
"San Jacinto County",48407,87.5,23777,"1430 of 3140"
"Uvalde County",48463,87.6,23222,"1408 of 3140"
"Young County",48503,87.6,15809,"1405 of 3140"
"Blanco County",48031,87.6,9585,"1403 of 3140"
"Burleson County",48051,87.8,15273,"1357 of 3140"
"Austin County",48015,87.8,25604,"1330 of 3140"
"Borden County",48033,87.9,507,"1315 of 3140"
"Trinity County",48455,87.9,12631,"1303 of 3140"
"Castro County",48069,87.9,6842,"1292 of 3140"
"Zavala County",48507,88.0,10569,"1280 of 3140"
"Hardin County",48199,88.1,48780,"1242 of 3140"
"Brazoria County",48039,88.1,300803,"1222 of 3140"
"Van Zandt County",48467,88.1,46601,"1214 of 3140"
"Carson County",48065,88.2,5268,"1200 of 3140"
"Coke County",48081,88.2,2819,"1198 of 3140"
"Culberson County",48109,88.2,1954,"1197 of 3140"
"Falls County",48145,88.3,15119,"1171 of 3140"
"Somervell County",48425,88.3,7575,"1163 of 3140"
"Hutchinson County",48233,88.4,18903,"1141 of 3140"
"Cherokee County",48073,88.4,45081,"1131 of 3140"
"Bowie County",48037,88.5,81944,"1083 of 3140"
"Rains County",48379,88.7,9872,"1041 of 3140"
"Floyd County",48153,88.7,5248,"1025 of 3140"
"Johnson County",48251,88.9,140093,"958 of 3140"
"Panola County",48365,88.9,20792,"957 of 3140"
"Hood County",48221,88.9,48705,"949 of 3140"
"Lampasas County",48281,89.0,18104,"935 of 3140"
"Shackelford County",48417,89.0,2940,"932 of 3140"
"Gillespie County",48171,89.0,22911,"927 of 3140"
"Refugio County",48391,89.0,6438,"918 of 3140"
"Webb County",48479,89.0,235444,"910 of 3140"
"Deaf Smith County",48117,89.1,16522,"892 of 3140"
"Morris County",48343,89.1,11034,"875 of 3140"
"Callahan County",48059,89.2,12091,"856 of 3140"
"Washington County",48477,89.3,30692,"826 of 3140"
"Jim Wells County",48249,89.3,36393,"821 of 3140"
"Hardeman County",48197,89.4,3511,"805 of 3140"
"Crane County",48103,89.4,4215,"802 of 3140"
"Lipscomb County",48295,89.4,3039,"796 of 3140"
"Jim Hogg County",48247,89.5,4619,"762 of 3140"
"Willacy County",48489,89.6,19332,"752 of 3140"
"Sabine County",48403,89.7,9230,"717 of 3140"
"Wilson County",48493,89.7,41854,"714 of 3140"
"Fisher County",48151,89.8,3414,"696 of 3140"
"Foard County",48155,89.8,1262,"678 of 3140"
"Ochiltree County",48357,89.9,9254,"657 of 3140"
"Jeff Davis County",48243,90.0,2012,"640 of 3140"
"Matagorda County",48321,90.1,32703,"600 of 3140"
"Hidalgo County",48215,90.2,744855,"582 of 3140"
"Briscoe County",48045,90.2,1431,"574 of 3140"
"Martin County",48317,90.3,4998,"544 of 3140"
"Marion County",48315,90.5,9096,"505 of 3140"
"Sterling County",48431,90.5,1025,"504 of 3140"
"Camp County",48063,90.6,11266,"495 of 3140"
"San Augustine County",48405,90.6,7486,"490 of 3140"
"Archer County",48009,90.7,7887,"481 of 3140"
"Franklin County",48159,90.8,9548,"465 of 3140"
"Titus County",48449,90.8,29305,"463 of 3140"
"Cameron County",48061,90.8,375977,"459 of 3140"
"Throckmorton County",48447,90.9,1382,"436 of 3140"
"Wharton County",48481,91.1,37302,"399 of 3140"
"Harrison County",48203,91.1,60040,"391 of 3140"
"Brown County",48049,91.2,34139,"380 of 3140"
"Hamilton County",48193,91.2,7462,"375 of 3140"
"Starr County",48427,91.2,56688,"366 of 3140"
"Comanche County",48093,91.3,12161,"352 of 3140"
"Chambers County",48071,91.4,35480,"341 of 3140"
"McMullen County",48311,91.4,542,"338 of 3140"
"Cass County",48067,91.5,27268,"318 of 3140"
"Upton County",48461,91.6,3214,"300 of 3140"
"Yoakum County",48501,91.7,7603,"283 of 3140"
"Schleicher County",48413,91.8,2849,"266 of 3140"
"Kenedy County",48261,91.9,510,"245 of 3140"
"Houston County",48225,91.9,20825,"244 of 3140"
"Dimmit County",48127,92.0,9857,"230 of 3140"
"Bailey County",48017,92.1,6492,"225 of 3140"
"Goliad County",48175,92.5,6849,"185 of 3140"
"Armstrong County",48011,92.8,1782,"154 of 3140"
"Mills County",48333,93.1,4517,"129 of 3140"
"Loving County",48301,93.2,69,"123 of 3140"
"Collingsworth County",48087,93.5,2802,"110 of 3140"
"Newton County",48351,93.6,13181,"98 of 3140"
"Colorado County",48089,93.9,19296,"81 of 3140"
"Sherman County",48421,94.0,2847,"75 of 3140"
"Fayette County",48149,94.0,23290,"74 of 3140"
"Coleman County",48083,94.5,7914,"54 of 3140"
"Runnels County",48399,94.8,9710,"47 of 3140"
"Terrell County",48443,95.3,685,"31 of 3140"
"Edwards County",48137,97.1,2050,"7 of 3140"
"King County",48269,98.2,280,"1 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
