------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Gray County",48179,5.4,428,"2882 of 3140"
"Wharton County",48481,5.4,820,"2884 of 3140"
"Haskell County",48207,5.4,115,"2885 of 3140"
"Comanche County",48093,5.4,278,"2887 of 3140"
"Midland County",48329,5.5,3011,"2888 of 3140"
"Ward County",48475,5.5,217,"2890 of 3140"
"Hockley County",48219,5.6,449,"2892 of 3140"
"Waller County",48473,5.6,829,"2895 of 3140"
"McCulloch County",48307,5.7,179,"2898 of 3140"
"Brazos County",48041,5.7,4439,"2901 of 3140"
"Lamb County",48279,5.8,278,"2903 of 3140"
"Mason County",48319,5.9,95,"2906 of 3140"
"Hale County",48189,5.9,659,"2907 of 3140"
"San Patricio County",48409,6.0,1384,"2911 of 3140"
"Navarro County",48349,6.0,1041,"2913 of 3140"
"Fort Bend County",48157,6.0,13376,"2915 of 3140"
"Hardeman County",48197,6.1,94,"2921 of 3140"
"McLennan County",48309,6.1,5409,"2922 of 3140"
"Lynn County",48305,6.1,132,"2925 of 3140"
"Limestone County",48293,6.3,510,"2934 of 3140"
"Travis County",48453,6.3,28189,"2935 of 3140"
"Cottle County",48101,6.3,42,"2937 of 3140"
"Kleberg County",48273,6.3,695,"2938 of 3140"
"Chambers County",48071,6.4,851,"2942 of 3140"
"Loving County",48301,6.5,2,"2945 of 3140"
"Tarrant County",48439,6.5,44780,"2946 of 3140"
"McMullen County",48311,6.7,13,"2952 of 3140"
"Bexar County",48029,6.8,42608,"2955 of 3140"
"Caldwell County",48055,6.8,879,"2958 of 3140"
"Menard County",48327,6.8,66,"2959 of 3140"
"Crosby County",48107,6.9,143,"2964 of 3140"
"Jeff Davis County",48243,7.1,71,"2970 of 3140"
"Dawson County",48115,7.1,306,"2971 of 3140"
"Brewster County",48043,7.1,280,"2974 of 3140"
"Gonzales County",48177,7.3,512,"2979 of 3140"
"Karnes County",48255,7.3,314,"2980 of 3140"
"Calhoun County",48057,7.3,567,"2983 of 3140"
"Collingsworth County",48087,7.6,83,"2988 of 3140"
"Matagorda County",48321,7.7,1060,"2993 of 3140"
"Schleicher County",48413,7.7,85,"2995 of 3140"
"Hartley County",48205,7.8,136,"2998 of 3140"
"Titus County",48449,7.8,831,"2999 of 3140"
"Sutton County",48435,7.9,124,"3001 of 3140"
"Potter County",48375,8.0,3474,"3003 of 3140"
"Atascosa County",48013,8.0,1241,"3004 of 3140"
"Swisher County",48437,8.0,209,"3005 of 3140"
"Sherman County",48421,8.1,86,"3010 of 3140"
"San Saba County",48411,8.5,182,"3022 of 3140"
"Upton County",48461,8.6,113,"3029 of 3140"
"Andrews County",48003,8.9,482,"3032 of 3140"
"King County",48269,8.9,9,"3033 of 3140"
"Ochiltree County",48357,9.3,330,"3043 of 3140"
"Ector County",48135,9.4,4818,"3044 of 3140"
"Terry County",48445,9.4,390,"3047 of 3140"
"Hemphill County",48211,10.0,136,"3055 of 3140"
"Uvalde County",48463,10.1,871,"3057 of 3140"
"Winkler County",48495,10.3,259,"3060 of 3140"
"Jim Wells County",48249,10.3,1407,"3061 of 3140"
"Duval County",48131,10.5,402,"3063 of 3140"
"Parmer County",48369,10.6,340,"3066 of 3140"
