------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Bastrop County",48021,5.7,1495,"166 of 3141"
"Gaines County",48165,5.9,335,"161 of 3141"
"Karnes County",48255,5.9,254,"159 of 3141"
"Crosby County",48107,6.0,123,"155 of 3141"
"Floyd County",48153,6.0,140,"154 of 3141"
"Hudspeth County",48229,6.1,54,"150 of 3141"
"San Patricio County",48409,6.1,1422,"147 of 3141"
"Hale County",48189,6.1,687,"146 of 3141"
"Potter County",48375,6.1,2665,"145 of 3141"
"Midland County",48329,6.3,3442,"141 of 3141"
"Crockett County",48105,6.3,89,"139 of 3141"
"Ochiltree County",48357,6.3,224,"137 of 3141"
"Andrews County",48003,6.3,342,"136 of 3141"
"Jim Wells County",48249,6.3,862,"134 of 3141"
"Motley County",48345,6.4,30,"131 of 3141"
"Cherokee County",48073,6.5,1165,"129 of 3141"
"Zavala County",48507,6.5,231,"127 of 3141"
"Waller County",48473,6.6,968,"122 of 3141"
"Jim Hogg County",48247,6.6,105,"120 of 3141"
"Sutton County",48435,6.7,106,"116 of 3141"
"Kleberg County",48273,6.8,748,"112 of 3141"
"Dallas County",48113,6.8,61951,"110 of 3141"
"Duval County",48131,7.0,271,"104 of 3141"
"Val Verde County",48465,7.1,1081,"100 of 3141"
"Atascosa County",48013,7.3,1131,"95 of 3141"
"Lavaca County",48285,7.3,564,"93 of 3141"
"Madison County",48313,7.4,309,"90 of 3141"
"Martin County",48317,7.5,123,"89 of 3141"
"Cochran County",48079,8.4,84,"72 of 3141"
"Presidio County",48377,8.4,218,"71 of 3141"
"Titus County",48449,8.6,913,"70 of 3141"
"Calhoun County",48057,8.6,668,"69 of 3141"
"Yoakum County",48501,8.8,233,"65 of 3141"
"Somervell County",48425,8.9,287,"64 of 3141"
"Dimmit County",48127,8.9,311,"62 of 3141"
"La Salle County",48283,9.4,216,"51 of 3141"
"Moore County",48341,9.5,641,"49 of 3141"
"Frio County",48163,9.7,438,"46 of 3141"
"Bailey County",48017,10.0,223,"41 of 3141"
"Gonzales County",48177,10.0,705,"40 of 3141"
"Parmer County",48369,10.1,327,"39 of 3141"
"Willacy County",48489,10.2,586,"38 of 3141"
"Kenedy County",48261,11.2,17,"30 of 3141"
"Cameron County",48061,11.3,13776,"29 of 3141"
"Hidalgo County",48215,12.3,28632,"24 of 3141"
"Maverick County",48323,12.6,2070,"22 of 3141"
"Starr County",48427,12.7,2075,"21 of 3141"
"McMullen County",48311,13.9,27,"16 of 3141"
"Webb County",48479,14.0,10165,"14 of 3141"
"Zapata County",48505,14.2,633,"11 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
